// // Scan Code Expected unshifted char
0x0000 0x00 //input (line): 0(0x00), VK_NOTDEF, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 242(0xf2), undef_0xF2, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 243(0xf3), undef_0xF3, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 244(0xf4), undef_0xF4, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 245(0xf5), undef_0xF5, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 246(0xf6), VK_ATTN, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 247(0xf7), VK_CRSEL, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 248(0xf8), VK_EXSEL, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 249(0xf9), VK_EREOF, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 250(0xfa), VK_PLAY, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 251(0xfb), VK_ZOOM, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 252(0xfc), VK_NONAME, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 253(0xfd), VK_PA1, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 254(0xfe), VK_OEM_CLEAR, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
0x0000 0x00 //input (line): 255(0xff), VK_undef_0xff, output (by scancode): VK_NOTDEF, output char code:VK_NOTDEF
